TABLE NO.  1
 NUM         IPRED       NPDE        CWRES       DV          PRED        RES         WRES
  8.5000E+01  1.2930E+02  3.3185E-01  2.5391E-01  1.3825E+02  1.2979E+02  8.4620E+00  2.4989E-01
  8.6000E+01  1.2119E+02  8.4162E-01  6.7873E-01  1.3940E+02  1.2080E+02  1.8602E+01  6.7212E-01
  8.7000E+01  1.1245E+02 -6.1281E-01 -6.3770E-01  9.9718E+01  1.1214E+02 -1.2423E+01 -6.2506E-01
  8.8000E+01  1.0006E+02  1.4252E-01  6.3258E-02  1.0298E+02  1.0026E+02  2.7226E+00  6.5794E-02
  8.9000E+01  9.1003E+01  6.2293E-01  4.0054E-01  1.0000E+02  9.1649E+01  8.3514E+00  3.9565E-01
  9.0000E+01  7.4329E+01  7.6098E-01  6.3628E-01  8.5519E+01  7.5762E+01  9.7569E+00  6.1718E-01
  9.1000E+01  5.3924E+01 -1.4758E+00 -1.4115E+00  4.0157E+01  5.6052E+01 -1.5895E+01 -1.3371E+00
  9.2000E+01  3.2954E+01  5.5338E-01  6.2087E-01  3.8225E+01  3.5241E+01  2.9837E+00  5.4711E-01
  9.3000E+01  2.7555E+01 -9.2039E-02 -4.9798E-02  2.8283E+01  2.9734E+01 -1.4507E+00 -5.5190E-02
  9.4000E+01  1.4327E+01 -4.3073E-01 -2.9509E-01  1.4083E+01  1.5935E+01 -1.8517E+00 -2.5601E-01
  9.7000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  9.8000E+01  1.4799E+02  1.1918E+00  1.3737E+00  1.7973E+02  1.1810E+02  6.1631E+01  1.6269E+00
  9.9000E+01  1.8714E+02  3.1425E-01  1.1448E-01  1.8866E+02  1.6649E+02  2.2167E+01  1.3972E-01
  1.0000E+02  1.8919E+02 -7.4987E-01 -7.6613E-01  1.6041E+02  1.7463E+02 -1.4222E+01 -7.9349E-01
  1.0100E+02  1.8226E+02  1.3409E-01 -1.0805E-01  1.8114E+02  1.7533E+02  5.8050E+00 -1.0821E-01
  1.0200E+02  1.6447E+02  8.1804E-01  7.5661E-01  1.9219E+02  1.6186E+02  3.0326E+01  7.5283E-01
  1.0300E+02  1.5038E+02 -9.5417E-01 -8.5829E-01  1.2646E+02  1.4834E+02 -2.1878E+01 -8.5501E-01
  1.0400E+02  1.3648E+02 -1.5097E-01 -2.3287E-01  1.3103E+02  1.3426E+02 -3.2281E+00 -2.2805E-01
  1.0500E+02  1.2459E+02  5.4367E-01  4.0414E-01  1.3476E+02  1.2203E+02  1.2727E+01  4.1556E-01
  1.0600E+02  1.0383E+02  4.8642E-01  2.4786E-01  1.0785E+02  1.0068E+02  7.1721E+00  2.6222E-01
  1.0700E+02  7.6873E+01  1.5834E+00  1.5558E+00  9.8623E+01  7.3124E+01  2.5499E+01  1.6117E+00
  1.0800E+02  5.0035E+01 -1.1264E+00 -9.6718E-01  3.7920E+01  4.6116E+01 -8.1956E+00 -9.9851E-01
  1.0900E+02  4.3235E+01 -1.2445E+00 -1.0889E+00  3.1531E+01  3.9394E+01 -7.8630E+00 -1.1284E+00
  1.1000E+02  2.4428E+01 -1.8487E-01 -5.2149E-02  2.2702E+01  2.1277E+01  1.4249E+00 -4.6514E-02
  1.1100E+02  1.5092E+01  1.1918E+00  1.5354E+00  1.8999E+01  1.2653E+01  6.3458E+00  1.5906E+00
  1.1300E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.1400E+02  1.1507E+02  5.5338E-01  6.1909E-01  1.2952E+02  1.3422E+02 -4.7013E+00  5.4539E-01
  1.1500E+02  1.3227E+02  4.1246E-01  4.6352E-01  1.4804E+02  1.6485E+02 -1.6809E+01  3.5821E-01
  1.1600E+02  1.3352E+02 -1.0043E-01 -2.6585E-01  1.3254E+02  1.7542E+02 -4.2882E+01 -2.3247E-01
  1.1700E+02  1.2877E+02 -2.9352E+00 -3.0082E+00  5.8317E+01  1.7405E+02 -1.1573E+02 -2.2304E+00
  1.1800E+02  1.1386E+02 -1.7132E+00 -1.8937E+00  7.8073E+01  1.5913E+02 -8.1054E+01 -1.4096E+00
  1.1900E+02  1.0097E+02 -9.1537E-01 -1.2960E+00  8.1808E+01  1.4312E+02 -6.1315E+01 -9.9436E-01
  1.2000E+02  8.8883E+01  1.0655E+00  1.7687E+00  1.2699E+02  1.2736E+02 -3.7101E-01  1.1069E+00
  1.2100E+02  7.9267E+01 -1.2265E+00 -1.7012E+00  5.8464E+01  1.1466E+02 -5.6195E+01 -1.2953E+00
  1.2200E+02  6.2809E+01 -7.2791E-01 -8.6790E-01  5.7314E+01  9.2876E+01 -3.5562E+01 -7.5541E-01
  1.2300E+02  4.1622E+01 -3.1425E-01 -5.6882E-01  4.0970E+01  6.4896E+01 -2.3926E+01 -5.9517E-01
  1.2400E+02  2.1723E+01 -3.3185E-01 -2.6158E-01  2.2837E+01  3.8480E+01 -1.5643E+01 -3.8557E-01
  1.2500E+02  1.7056E+01 -4.2158E-01 -4.3929E-01  1.7218E+01  3.2090E+01 -1.4872E+01 -4.3066E-01
  1.2900E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.3000E+02  9.6849E+01  1.6449E+00  1.6254E+00  1.2299E+02  9.0084E+01  3.2906E+01  1.6695E+00
  1.3100E+02  1.1273E+02 -1.9322E+00 -1.8040E+00  7.1372E+01  1.1333E+02 -4.1961E+01 -1.6964E+00
  1.3200E+02  1.1449E+02  6.5366E-01  5.1079E-01  1.2953E+02  1.2226E+02  7.2745E+00  4.7790E-01
  1.3300E+02  1.1130E+02  1.5943E-01  5.5673E-03  1.1571E+02  1.2140E+02 -5.6941E+00  3.6817E-03
  1.3400E+02  1.0156E+02 -7.5270E-02  4.8185E-03  1.0571E+02  1.1213E+02 -6.4159E+00 -8.7510E-03
  1.3500E+02  9.2724E+01 -1.2090E+00 -1.3569E+00  7.0693E+01  1.0164E+02 -3.0946E+01 -1.2301E+00
  1.3600E+02  8.5508E+01 -3.3428E-02 -9.0726E-02  8.6396E+01  9.2737E+01 -6.3411E+00 -9.0039E-02
  1.3700E+02  7.8566E+01  8.3652E-02 -1.4878E-01  7.8027E+01  8.4166E+01 -6.1387E+00 -1.4222E-01
  1.3800E+02  6.6908E+01 -2.1043E-01 -2.9138E-01  6.3914E+01  7.0002E+01 -6.0883E+00 -2.7866E-01
  1.3900E+02  4.9318E+01  6.8502E-01  5.6447E-01  5.4980E+01  4.9490E+01  5.4895E+00  5.4282E-01
  1.4000E+02  3.1840E+01  8.0642E-01  6.1613E-01  3.5656E+01  3.0579E+01  5.0767E+00  6.0459E-01
  1.4100E+02  2.7057E+01 -5.2440E-01 -6.2121E-01  2.3520E+01  2.5746E+01 -2.2262E+00 -6.1484E-01
  1.4200E+02  1.4145E+01  4.1246E-01  5.3903E-01  1.5871E+01  1.3245E+01  2.6262E+00  5.4082E-01
  1.4500E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.4600E+02  1.0386E+02  4.3073E-01  3.0684E-01  1.1190E+02  9.1231E+01  2.0669E+01  3.4030E-01
  1.4700E+02  1.3556E+02  1.2566E-01 -4.6609E-02  1.3308E+02  1.1548E+02  1.7598E+01 -4.2445E-02
  1.4800E+02  1.4379E+02  3.1425E-01  1.7542E-01  1.4562E+02  1.2048E+02  2.5142E+01  2.0862E-01
  1.4900E+02  1.4498E+02 -4.1246E-01 -3.1778E-01  1.3095E+02  1.1982E+02  1.1134E+01 -3.7863E-01
  1.5000E+02  1.3606E+02  1.6134E+00  1.6747E+00  1.7563E+02  1.1076E+02  6.4870E+01  1.9975E+00
  1.5100E+02  1.2530E+02  9.2814E-01  8.3653E-01  1.4028E+02  1.0142E+02  3.8858E+01  9.8085E-01
  1.5200E+02  1.1339E+02 -4.4914E-01 -2.5686E-01  1.0198E+02  9.1462E+01  1.0518E+01 -3.6644E-01
  1.5300E+02  1.0341E+02  1.2816E+00  1.0079E+00  1.1918E+02  8.3210E+01  3.5970E+01  1.1684E+00
  1.5400E+02  8.5854E+01  4.0338E-01  4.1620E-01  8.8820E+01  6.8647E+01  2.0173E+01  4.1364E-01
  1.5500E+02  6.2020E+01  5.7297E-01  4.4168E-01  6.4638E+01  4.8558E+01  1.6080E+01  3.9604E-01
  1.5600E+02  3.9946E+01  1.2445E+00  1.3417E+00  4.9214E+01  2.9385E+01  1.9829E+01  1.5265E+00
  1.5700E+02  3.4503E+01  5.7297E-01  5.1519E-01  3.6910E+01  2.4560E+01  1.2350E+01  4.8671E-01
  1.5800E+02  2.0497E+01 -6.5366E-01 -2.9393E-01  1.8914E+01  1.2596E+01  6.3182E+00 -4.4538E-01
  1.6100E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.6200E+02  3.0520E+02 -5.8521E-02 -6.6926E-02  3.0860E+02  2.6037E+02  4.8226E+01 -7.2824E-02
  1.6300E+02  4.2475E+02  6.9562E-01  4.5682E-01  4.5953E+02  3.5336E+02  1.0617E+02  5.2553E-01
  1.6400E+02  4.4332E+02  6.1281E-01  4.9478E-01  4.7872E+02  3.6618E+02  1.1254E+02  5.7092E-01
  1.6500E+02  4.5189E+02  4.4914E-01  2.8719E-01  4.6283E+02  3.6944E+02  9.3394E+01  3.1965E-01
  1.6600E+02  4.2562E+02  7.8350E-01  6.4014E-01  4.6234E+02  3.4631E+02  1.1603E+02  7.3096E-01
  1.6700E+02  3.8262E+02  5.7297E-01  4.0772E-01  3.9784E+02  3.1222E+02  8.5618E+01  4.3673E-01
  1.6800E+02  3.4315E+02  4.6770E-01  4.3219E-01  3.5965E+02  2.8152E+02  7.8129E+01  4.5382E-01
  1.6900E+02  3.1069E+02  9.9446E-01  8.7254E-01  3.5421E+02  2.5618E+02  9.8028E+01  9.7055E-01
  1.7000E+02  2.5898E+02 -5.0532E-01 -3.8554E-01  2.3200E+02  2.1517E+02  1.6830E+01 -5.4948E-01
  1.7100E+02  1.8804E+02  2.1280E+00  2.2231E+00  2.6884E+02  1.5669E+02  1.1215E+02  2.4994E+00
  1.7200E+02  1.2368E+02  3.2304E-01  1.7033E-01  1.2774E+02  9.9880E+01  2.7860E+01  7.1883E-02
  1.7300E+02  1.0756E+02  1.7507E+00  1.3745E+00  1.3750E+02  8.4857E+01  5.2643E+01  1.5286E+00
  1.7400E+02  6.4672E+01  2.2754E-01  6.0561E-02  6.6631E+01  4.5660E+01  2.0971E+01  2.1888E-02
